generic_id,indication_id
1,2
1,3
1,212
1,510
1,511
1,512
1,513
1,806
1,1057
1,1148
1,1516
1,1520
1,1859
4,13
5,1329
5,1471
6,17
6,19
6,35
6,569
6,818
6,1190
6,1785
6,2203
6,2220
7,17
7,19
7,20
7,21
7,35
7,562
7,569
7,2203
8,22
8,23
8,24
8,25
8,83
8,87
8,1366
8,1803
8,2088
9,26
10,1
10,27
10,28
10,30
10,31
10,32
10,33
10,1206
12,38
12,39
12,40
12,41
12,760
12,766
12,772
12,1907
12,2083
13,42
13,43
13,44
14,46
14,47
14,48
14,293
14,317
14,527
14,759
14,1481
14,1912
14,2117
15,49
15,2035
16,50
16,680
17,51
17,52
18,51
19,51
20,293
20,2048
20,2194
22,55
22,56
23,57
24,22
24,58
24,60
24,62
24,158
24,429
24,432
24,677
24,687
24,1039
24,1318
25,63
25,508
26,64
26,65
26,66
26,67
26,68
26,150
27,69
27,169
28,70
28,71
28,72
28,73
28,74
28,75
28,76
28,77
28,78
28,992
28,993
28,994
28,1355
28,1379
28,1443
28,1445
28,1727
28,1728
29,79
29,81
29,479
29,709
29,1782
30,79
30,81
30,479
31,82
32,83
32,1366
34,23
34,83
34,84
34,85
34,86
34,87
34,88
34,89
34,91
34,92
34,825
35,93
35,1048
35,1755
36,95
36,96
36,97
36,799
36,803
37,37
37,271
37,1844
37,1948
38,169
38,246
38,485
38,714
38,737
38,783
38,788
38,791
38,868
38,1325
38,1482
38,1492
38,1710
38,1821
38,2223
39,104
39,1801
40,105
40,106
40,107
40,109
40,110
40,116
40,117
40,118
40,933
40,934
40,1022
40,1306
40,1369
40,1430
40,1681
40,1794
40,1795
41,105
41,107
41,111
41,112
41,933
41,1022
41,1306
41,1430
41,1681
41,1786
41,1794
42,105
42,107
42,110
42,111
42,113
42,114
42,116
42,117
42,933
42,934
42,1022
42,1429
43,105
43,107
43,111
43,112
43,116
43,117
43,118
43,119
43,933
44,107
44,111
44,116
44,117
44,118
44,933
44,934
44,1022
44,1369
44,1429
45,105
45,107
45,110
45,111
45,113
45,114
45,116
45,117
45,933
45,934
45,1022
45,1429
46,35
46,121
46,122
46,340
46,468
46,970
46,990
46,1306
46,1504
46,1796
46,1877
47,47
47,125
47,126
47,1010
47,1712
47,1900
48,129
48,130
48,374
48,471
48,1464
51,1
51,131
51,132
51,133
51,134
51,135
51,138
51,139
51,140
51,141
51,142
51,143
51,178
51,215
51,217
51,395
51,596
51,599
51,602
51,616
51,1025
51,1218
51,1489
51,2147
51,2167
52,83
52,89
52,144
52,145
52,500
52,1211
52,1217
53,146
54,146
54,147
54,148
54,149
55,64
55,150
55,151
55,152
55,153
55,154
55,155
55,156
55,157
55,2142
56,61
56,158
56,162
56,472
56,928
56,1206
56,1869
56,1886
57,163
57,164
57,165
57,166
57,167
57,168
57,272
57,1494
57,2248
57,2249
58,35
58,37
58,169
58,170
58,171
58,225
58,271
58,570
58,786
58,866
58,868
58,990
58,1022
58,1043
58,1046
58,1136
58,1180
58,1187
58,1710
58,1948
58,2136
58,2223
58,2252
58,2253
59,1747
60,83
60,174
60,803
60,1366
60,1643
60,1829
60,1875
60,2254
61,83
61,176
61,1366
61,1643
61,1875
61,2254
62,83
62,177
62,276
62,803
62,1366
62,1643
62,1875
62,2254
63,83
63,1366
64,83
64,1366
65,83
65,1366
66,83
66,1366
71,30
71,130
71,178
71,179
71,180
71,181
71,182
71,183
71,184
71,185
71,186
71,187
71,188
71,189
71,191
