generic_id,therapitic_id
1,24
1,135
4,142
5,162
8,36
10,78
10,305
12,217
13,107
14,141
16,205
17,225
18,216
22,50
23,294
24,68
24,80
24,306
26,61
27,95
30,270
32,307
34,177
36,55
36,388
37,111
38,84
40,377
40,378
41,377
41,378
42,377
42,378
43,377
43,378
44,377
44,378
45,377
45,378
46,4
47,138
48,78
52,35
55,61
56,80
56,364
57,48
58,115
59,11
60,387
61,42
62,308
63,42
64,42
65,42
66,42
71,120
74,120
83,120
89,143
90,120
107,146
108,146
109,146
125,293
137,114
138,42
139,42
140,105
141,372
142,191
149,129
152,126
158,66
162,304
165,118
168,203
172,207
177,208
178,117
179,117
186,244
188,369
210,17
211,6
211,9
211,377
213,42
217,219
224,84
225,288
228,78
235,304
236,33
236,392
240,109
241,322
242,76
246,112
247,194
248,202
251,238
251,267
257,246
257,268
257,359
258,246
258,268
261,246
261,268
279,246
279,268
283,246
283,268
284,246
284,268
285,246
285,268
288,110
289,110
291,371
291,373
292,42
294,110
295,30
296,98
299,156
300,78
308,114
310,123
311,122
314,125
319,123
320,125
323,123
327,123
328,123
332,114
334,122
336,122
341,233
343,233
348,298
350,298
353,233
354,233
359,146
361,233
362,233
365,328
369,32
370,238
370,267
375,272
377,126
378,56
379,1
379,376
379,380
379,381
380,330
383,27
384,104
385,104
388,298
398,105
400,278
400,331
404,280
405,225
408,211
409,211
410,211
411,211
420,280
423,119
426,218
436,177
445,202
445,208
446,202
446,208
447,239
450,239
457,181
464,227
467,174
472,305
474,305
485,288
501,77
502,76
529,272
531,84
531,98
540,288
541,110
544,119
546,148
550,43
551,145
552,387
558,26
561,201
561,202
564,46
566,219
568,44
570,205
571,12
571,23
571,386
572,336
573,44
574,126
577,202
588,103
590,4
596,280
597,214
598,142
610,30
617,166
619,45
619,68
621,288
623,34
627,126
628,129
631,222
633,264
635,382
635,384
637,280
638,153
639,322
640,135
641,136
646,98
648,189
654,62
655,1
655,376
655,380
655,381
656,177
658,63
659,109
678,119
680,143
680,144
681,143
681,144
682,284
688,229
689,212
691,212
700,89
702,97
704,97
708,304
709,304
711,337
712,337
715,239
715,263
718,338
721,33
721,392
722,35
730,336
731,191
739,63
743,298
745,235
756,272
757,76
761,51
763,276
767,214
768,103
768,338
769,143
770,79
772,22
775,90
775,339
776,188
781,32
781,391
782,42
783,42
784,42
785,42
786,42
787,42
788,42
793,202
793,280
794,27
794,202
796,229
798,263
798,305
799,146
814,32
815,42
818,65
825,311
826,156
834,69
837,373
841,259
842,188
843,135
844,136
845,136
846,136
847,89
847,103
